BlockName(eg:OML150),CompanyName,Lease_Type,Date_Of_Award(eg:yyyy/MM/dd)
OPL94,NIGERIAN NATIONAL PETROLEUM CORPORATION,,
OPL94,MOBIL PRODUCING NIGERIA UNLIMITED,,
OPL94,MOBIL PRODUCING NIGERIA UNLIMITED,,
OPL95,TOTAL EXPLORATION & PRODUCTION NIG. LTD.,,
OPL95,NIGERIAN NATIONAL PETROLEUM CORPORATION,,
OPL95,TOTAL EXPLORATION & PRODUCTION NIG. LTD.,,
OPL95,TOTAL EXPLORATION & PRODUCTION NIG. LTD.,,
OPL95,NIGERIAN NATIONAL PETROLEUM CORPORATION,,
OPL95,NIGERIAN NATIONAL PETROLEUM CORPORATION,,
OPL95,TOTAL EXPLORATION & PRODUCTION NIG. LTD.,,
OPL95,TOTAL EXPLORATION & PRODUCTION NIG. LTD.,,
OPL96,NIGERIAN NATIONAL PETROLEUM CORPORATION,,
OPL96,NIGERIAN NATIONAL PETROLEUM CORPORATION,,
OPL96,TOTAL EXPLORATION & PRODUCTION NIG. LTD.,,
OPL96,TOTAL EXPLORATION & PRODUCTION NIG. LTD.,,
OPL97,NIGERIAN NATIONAL PETROLEUM CORPORATION,,
OPL97,TOTAL EXPLORATION & PRODUCTION NIG. LTD.,,
OPL97,NIGERIAN NATIONAL PETROLEUM CORPORATION,,
OPL97,NIGERIAN NATIONAL PETROLEUM CORPORATION,,
OPL97,TOTAL EXPLORATION & PRODUCTION NIG. LTD.,,
OPL97,NIGERIAN NATIONAL PETROLEUM CORPORATION,,
OPL97,NIGERIAN NATIONAL PETROLEUM CORPORATION,,
OPL97,TOTAL EXPLORATION & PRODUCTION NIG. LTD.,,
OPL97,NIGERIAN NATIONAL PETROLEUM CORPORATION,,
OPL97,NIGERIAN NATIONAL PETROLEUM CORPORATION,,
OPL97,NIGERIAN NATIONAL PETROLEUM CORPORATION,,
OPL98,ADDAX PETROLEUM DEVELOPMENT (NIGERIA) LIMITED,,
OPL98,ADDAX PETROLEUM DEVELOPMENT (NIGERIA) LIMITED,,
OPL98,ADDAX PETROLEUM DEVELOPMENT (NIGERIA) LIMITED,,
OPL98,ADDAX PETROLEUM DEVELOPMENT (NIGERIA) LIMITED,,
OPL98,ADDAX PETROLEUM DEVELOPMENT (NIGERIA) LIMITED,,
